Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-01-29,24.46991192124477,24.46991192124477,24.34817106591519,24.4525203704834,1003200.0,29,4,4,1,1993
1993-02-01,24.46991796008611,24.626441955566406,24.46991796008611,24.626441955566406,480500.0,1,0,5,2,1993
1993-02-02,24.609034137040315,24.695991854839043,24.556859506361075,24.678600311279297,201300.0,2,1,5,2,1993
1993-02-03,24.713391593975665,24.956873284556707,24.69600004464845,24.93948173522949,529400.0,3,2,5,2,1993
1993-02-04,25.02643741634157,25.096003607908887,24.74817265007232,25.0438289642334,531500.0,4,3,5,2,1993
1993-02-05,25.02643585205078,25.078610492465064,24.887303477612697,25.02643585205078,492100.0,5,4,5,2,1993
1993-02-08,25.02643585205078,25.113393586074583,24.991652758441266,25.02643585205078,596100.0,8,0,6,2,1993
1993-02-09,24.93947772165543,24.93947772165543,24.800345349428618,24.852519989013672,122100.0,9,1,6,2,1993
1993-02-10,24.85252121126293,24.904695853413944,24.78295502172826,24.88730430603028,379600.0,10,2,6,2,1993
1993-02-11,24.922086912003945,25.11339392947222,24.922086912003945,25.0090446472168,19500.0,11,3,6,2,1993
1993-02-12,24.97424614738566,24.97424614738566,24.81772232055664,24.81772232055664,42500.0,12,4,6,2,1993
1993-02-16,24.74818009048122,24.74818009048122,24.15686728438399,24.191650390625,374800.0,16,1,7,2,1993
1993-02-17,24.19165073916209,24.226433845904232,24.08730141893565,24.174259185791016,210900.0,17,2,7,2,1993
1993-02-18,24.452518600452883,24.452518600452883,23.82642281836448,24.156862258911133,378100.0,18,3,7,2,1993
1993-02-19,24.15686054175006,24.24381828308105,24.122077445217663,24.24381828308105,34900.0,19,4,7,2,1993
1993-02-22,24.313380854226928,24.36555549125317,24.24381467152528,24.330772399902344,513600.0,22,0,8,2,1993
1993-02-23,24.40034466717547,24.41773621718772,24.191646067028564,24.31338691711425,373700.0,23,1,8,2,1993
1993-02-24,24.330785519659184,24.626441955566406,24.330785519659184,24.626441955566406,26300.0,24,2,8,2,1993
1993-02-25,24.609034137040315,24.695991854839043,24.556859506361075,24.678600311279297,44500.0,25,3,8,2,1993
1993-02-26,24.73078189879384,24.73078189879384,24.59164951117756,24.7133903503418,66200.0,26,4,8,2,1993
1993-03-01,24.80035331473017,24.80035331473017,24.60904624147489,24.643829345703125,66500.0,1,0,9,3,1993
1993-03-02,24.66121370636538,25.0090446472168,24.62643061228024,25.0090446472168,182400.0,2,1,9,3,1993
